,Image,Description,Reference,Match,Book,Cleaned_Description,Lemmatized_Description,Stemmed_Description,split
70,dataset/images/9.pdf/page_180_image_1.jpeg,The ablation catheter placed at the right ventricular apex,[],Figure 75,9.pdf,ablation catheter placed right ventricular apex,ablation catheter placed right ventricular apex,ablat cathet place right ventricular apex,train
71,dataset/images/9.pdf/page_184_image_1.jpeg,Sagittal section of the right ventricle viewed from the right direction1,['The paired section of this image is'],Figure 76,9.pdf,sagittal section right ventricle viewed right direction1,sagittal section right ventricle viewed right direction1,sagitt section right ventricl view right direction1,train
72,dataset/images/9.pdf/page_186_image_1.jpeg,The inner aspect of the right ventricle viewed from the left anterior oblique direction1,[],Figure 77,9.pdf,inner aspect right ventricle viewed left anterior oblique direction1,inner aspect right ventricle viewed left anterior oblique direction1,inner aspect right ventricl view left anterior obliqu direction1,train
73,dataset/images/9.pdf/page_188_image_1.jpeg,The crisscross relationship between the right ventricular outflow tract and the aortic root1,['papillary muscle  respectively  Refer to'],Figure 78,9.pdf,crisscross relationship right ventricular outflow tract aortic root1,crisscross relationship right ventricular outflow tract aortic root1,crisscross relationship right ventricular outflow tract aortic root1,train
74,dataset/images/9.pdf/page_190_image_1.jpeg,Removal of the free wall of the right ventricle1,['between both arterial roots  Refer to'],Figure 79,9.pdf,removal free wall right ventricle1,removal free wall right ventricle1,remov free wall right ventricle1,valid
75,dataset/images/9.pdf/page_192_image_1.jpeg,Removal of the free wall of the right ventricle viewed from the anterior direction1,['proximal left coronary artery  Refer to  After'],Figure 80,9.pdf,removal free wall right ventricle viewed anterior direction1,removal free wall right ventricle viewed anterior direction1,remov free wall right ventricl view anterior direction1,train
76,dataset/images/9.pdf/page_194_image_1.jpeg,Five attachments of the right ventricle viewed from the right anterosuperior direction1,"['up the pulmonary valve  Refer to  The epicardial surface of this basal', 'right ventricular outflow tract  Refer to', 'based on the structural anatomy shown in is required when treating the ventricular arrhythmia', 'of the transverse sinus  Refer to  The paired section of this image']",Figure 81,9.pdf,five attachments right ventricle viewed right anterosuperior direction1,five attachment right ventricle viewed right anterosuperior direction1,five attach right ventricl view right anterosuperior direction1,train
77,dataset/images/9.pdf/page_196_image_1.jpeg,The ablation catheter placed at the right posterolateral wall of the right ventricular outflow tract supraventricular crest,[],Figure 82,9.pdf,ablation catheter placed right posterolateral wall right ventricular outflow tract supraventricular crest,ablation catheter placed right posterolateral wall right ventricular outflow tract supraventricular crest,ablat cathet place right posterolater wall right ventricular outflow tract supraventricular crest,train
78,dataset/images/9.pdf/page_198_image_1.jpeg,The ablation catheter placed at the medial free wall of the right ventricular outflow tract,['rather than push ablation  Refer to  Changing the bend of the catheter'],Figure 83,9.pdf,ablation catheter placed medial free wall right ventricular outflow tract,ablation catheter placed medial free wall right ventricular outflow tract,ablat cathet place medial free wall right ventricular outflow tract,train
79,dataset/images/9.pdf/page_200_image_1.jpeg,The superior approach to the right ventricular outflow tract using a large Uturn curve catheter,[],Figure 84,9.pdf,superior approach right ventricular outflow tract using large uturn curve catheter,superior approach right ventricular outflow tract using large uturn curve catheter,superior approach right ventricular outflow tract use larg uturn curv cathet,train
80,dataset/images/9.pdf/page_202_image_1.jpeg,Transilluminated heart viewed from the anterior direction,['of the membranous septum  Refer to  White beads indicated the left fibrous'],Figure 85,9.pdf,transilluminated heart viewed anterior direction,transilluminated heart viewed anterior direction,transillumin heart view anterior direct,train
81,dataset/images/9.pdf/page_206_image_1.jpeg,Relationship between the pulmonary valve and the aortic root1,[],Figure 86,9.pdf,relationship pulmonary valve aortic root1,relationship pulmonary valve aortic root1,relationship pulmonari valv aortic root1,train
82,dataset/images/9.pdf/page_208_image_1.jpeg,The sagittal section of the heart viewed from the right lateral direction1,['The paired section of this image is'],Figure 87,9.pdf,sagittal section heart viewed right lateral direction1,sagittal section heart viewed right lateral direction1,sagitt section heart view right later direction1,train
83,dataset/images/9.pdf/page_210_image_1.jpeg,Relationship between the pulmonary trunk and the left coronary artery viewed from the left lateral direction1,['branch show myocardial bridge  Refer to'],Figure 88,9.pdf,relationship pulmonary trunk left coronary artery viewed left lateral direction1,relationship pulmonary trunk left coronary artery viewed left lateral direction1,relationship pulmonari trunk left coronari arteri view left later direction1,train
84,dataset/images/9.pdf/page_212_image_1.jpeg,Relationship between the pulmonary trunk and the left coronary artery viewed from the posterior direction1,['the right pulmonary artery  Refer to'],Figure 89,9.pdf,relationship pulmonary trunk left coronary artery viewed posterior direction1,relationship pulmonary trunk left coronary artery viewed posterior direction1,relationship pulmonari trunk left coronari arteri view posterior direction1,train
85,dataset/images/9.pdf/page_214_image_1.jpeg,Relationship between the pulmonary trunk and the aortic root viewed from the right and left anterior oblique directions1,[],Figure 90,9.pdf,relationship pulmonary trunk aortic root viewed right left anterior oblique directions1,relationship pulmonary trunk aortic root viewed right left anterior oblique directions1,relationship pulmonari trunk aortic root view right left anterior obliqu directions1,train
86,dataset/images/9.pdf/page_216_image_1.jpeg,The pulmonary valves1,[],Figure 91,9.pdf,pulmonary valves1,pulmonary valves1,pulmonari valves1,train
87,dataset/images/9.pdf/page_220_image_1.jpeg,The pulmonary veins viewed from the posterior direction1,['summit  right   Refer to'],Figure 92,9.pdf,pulmonary veins viewed posterior direction1,pulmonary vein viewed posterior direction1,pulmonari vein view posterior direction1,train
88,dataset/images/9.pdf/page_222_image_1.jpeg,Structural extracardiac anatomy around the pulmonary vein1,['the left main bronchus  Refer to'],Figure 93,9.pdf,structural extracardiac anatomy around pulmonary vein1,structural extracardiac anatomy around pulmonary vein1,structur extracardiac anatomi around pulmonari vein1,train
89,dataset/images/9.pdf/page_224_image_1.jpeg,Structural anatomy around the pulmonary vein1,['the right intermediate bronchus  Refer to  The apex of the left atrial'],Figure 94,9.pdf,structural anatomy around pulmonary vein1,structural anatomy around pulmonary vein1,structur anatomi around pulmonari vein1,train
90,dataset/images/9.pdf/page_226_image_1.jpeg,The pulmonary veins viewed from the posterosuperior direction1,[],Figure 95,9.pdf,pulmonary veins viewed posterosuperior direction1,pulmonary vein viewed posterosuperior direction1,pulmonari vein view posterosuperior direction1,train
91,dataset/images/9.pdf/page_228_image_1.jpeg,The transseptal approach and left pulmonary venous isolation,[],Figure 96,9.pdf,transseptal approach left pulmonary venous isolation,transseptal approach left pulmonary venous isolation,transsept approach left pulmonari venou isol,train
92,dataset/images/9.pdf/page_230_image_1.jpeg,The inner aspects of the orifices of the right and left pulmonary veins,[],Figure 97,9.pdf,inner aspects orifices right left pulmonary veins,inner aspect orifice right left pulmonary vein,inner aspect orific right left pulmonari vein,train
93,dataset/images/9.pdf/page_236_image_1.jpeg,The transilluminated left and right atria viewed from the anterosuperior direction1,['Bachmann  s bundle  Refer to'],Figure 99,9.pdf,transilluminated left right atria viewed anterosuperior direction1,transilluminated left right atrium viewed anterosuperior direction1,transillumin left right atria view anterosuperior direction1,train
94,dataset/images/9.pdf/page_238_image_1.jpeg,The sagittal section of the heart viewed from the left lateral direction1,['The paired section of this image is'],Figure 100,9.pdf,sagittal section heart viewed left lateral direction1,sagittal section heart viewed left lateral direction1,sagitt section heart view left later direction1,train
95,dataset/images/9.pdf/page_240_image_1.jpeg,The section corresponding to the parasternal left ventricular longaxis view1,['The paired section of this image is'],Figure 101,9.pdf,section corresponding parasternal left ventricular longaxis view1,section corresponding parasternal left ventricular longaxis view1,section correspond parastern left ventricular longaxi view1,train
96,dataset/images/9.pdf/page_242_image_1.jpeg,The paired section of the parasternal left ventricular longaxis view1,['The paired section of this image is'],Figure 102,9.pdf,paired section parasternal left ventricular longaxis view1,paired section parasternal left ventricular longaxis view1,pair section parastern left ventricular longaxi view1,train
97,dataset/images/9.pdf/page_244_image_1.jpeg,The atrial septum viewed from the right anterior oblique direction1,[],Figure 103,9.pdf,atrial septum viewed right anterior oblique direction1,atrial septum viewed right anterior oblique direction1,atrial septum view right anterior obliqu direction1,train
98,dataset/images/9.pdf/page_246_image_1.jpeg,The transilluminated right and left atrium,[],Figure 104,9.pdf,transilluminated right left atrium,transilluminated right left atrium,transillumin right left atrium,train
99,dataset/images/9.pdf/page_250_image_1.jpeg,The left atrium viewed from the posterior direction1,[],Figure 106,9.pdf,left atrium viewed posterior direction1,left atrium viewed posterior direction1,left atrium view posterior direction1,train
